Квартира	Дата опломбировки		ОТП1							ОТП2							ОТОП3					
		Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Модель	Марка	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки
1	23.01.2015	ZENNER	Multidata s1-1	33467799	2.628	02.04.2014	1043310	02.04.2018	ZENNER	Multidata s1-1	8843039379	2.385	02.04.2014	1043307	02.04.2018	ZENNER	Multidata s1-1					
2	30.12.2014	ZENNER	Multidata s1-1	8843039381	1.446	30.12.2014	1043019	30.12.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
3	12.04.2017	ZENNER	Multidata s1-1	8844121905	3.464	02.04.2014		02.04.2018	ZENNER	Multidata s1-1	8843039406	7.432	02.04.2014		02.04.2018	ZENNER	Multidata s1-1					
4	13.03.2015	ZENNER	Multidata s1-1	33467618	2.267	02.04.2014	268074	#REF!	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
5	06.04.2015	ZENNER	Multidata s1-1	33467980	2.968	02.04.2014	232340	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
6	26.02.2015	ZENNER	Multidata s1-1	33467631	1.224	02.04.2014	268309	02.04.2018	ZENNER	Multidata s1-1	33467977	1.903	02.04.2014	268308	02.04.2018	ZENNER	Multidata s1-1					
7	04.02.2015	ZENNER	Multidata s1-1	8843039371	2.161	02.04.2014	1043085	02.04.2018	ZENNER	Multidata s1-1	8843039413	2.361	02.04.2014	1043088	02.04.2018	ZENNER	Multidata s1-1					
8	18.02.2015	ZENNER	Multidata s1-1	8843039387	0.373		8328	31.12.1903	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
9	16.01.2015	ZENNER	Multidata s1-1	33467662	1.535	02.04.2014	1043279	02.04.2018	ZENNER	Multidata s1-1	8843039113	0.851	02.04.2014	1043276	02.04.2018	ZENNER	Multidata s1-1					
10	16.05.2014	ZENNER	Multidata s1-1	33467773	1.922	02.04.2014	1043258	02.04.2018	ZENNER	Multidata s1-1	33467624	2.288	02.04.2014	1043234	02.04.2018	ZENNER	Multidata s1-1					
11		ZENNER	Multidata s1-1						ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
12	16.01.2015	ZENNER	Multidata s1-1	33467907	1.198	02.04.2014	1043289	02.04.2018	ZENNER	Multidata s1-1	33467673	2.006	02.04.2014	1043292	02.04.2018	ZENNER	Multidata s1-1					
13	05.02.2015	ZENNER	Multidata s1-1	33467807	2.122	02.04.2014	310095	02.04.2018	ZENNER	Multidata s1-1	33461616	2.795	02.04.2014	311841	02.04.2018	ZENNER	Multidata s1-1					
14	17.04.2017	ZENNER	Multidata s1-1	33467837		02.04.2014	144924	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
15	05.02.2015	ZENNER	Multidata s1-1	33467906	0	02.04.2014	311803	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
16	14.04.2015	ZENNER	Multidata s1-1	33467950	5.391	02.04.2014	232209	02.04.2018	ZENNER	Multidata s1-1	33467899	3.44	02.04.2014	212173	02.04.2018	ZENNER	Multidata s1-1	33467843	5	02.04.2014	232210	
17	18.02.2015	ZENNER	Multidata s1-1	67928	4.948	02.04.2014	8228	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
18	06.02.2015	ZENNER	Multidata s1-1	33467909	0	02.04.2014	268418	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
19	05.02.2015	ZENNER	Multidata s1-1	33467906	0	02.04.2014	311803	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
20	18.02.2015	ZENNER	Multidata s1-1	467934	2.209	02.04.2014	8373	02.04.2018	ZENNER	Multidata s1-1	467664	1.668	02.04.2014	8203	02.04.2018	ZENNER	Multidata s1-1					
21		ZENNER	Multidata s1-1						ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
22	04.05.2017	ZENNER	Multidata s1-1	33467984	14.8	02.04.2014	30557	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
23	04.02.2015	ZENNER	Multidata s1-1	33467672	1.552	02.04.2014	1043203	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
24	14.06.2017	ZENNER	Multidata s1-1	33467681	3.4	11.04.2014	339808	11.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
25	06.02.2015	ZENNER	Multidata s1-1	33467976	1.279	02.04.2014	268479	02.04.2018	ZENNER	Multidata s1-1	33467636	0.865	02.04.2014	238479	02.04.2018	ZENNER	Multidata s1-1					
26	20.04.2015	ZENNER	Multidata s1-1	3346783	2.439	02.04.2014	1043904	02.04.2018	ZENNER	Multidata s1-1	33467927	0.104	02.04.2014	1043930	02.04.2018	ZENNER	Multidata s1-1	33467603	2.779	02.04.2014	1043903	
27		ZENNER	Multidata s1-1						ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
28	05.02.2015	ZENNER	Multidata s1-1	33467708	0.99	02.04.2014	311883	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
29	06.02.2015	ZENNER	Multidata s1-1	33467922	2.705	02.04.2014	268393	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
30	06.02.2015	ZENNER	Multidata s1-1	33467901	0.777	02.04.2014	310118	02.04.2018	ZENNER	Multidata s1-1	33467651	0.397	02.04.2014	310119	02.04.2018	ZENNER	Multidata s1-1					
31	16.01.2015	ZENNER	Multidata s1-1	33467985	0.945	02.04.2014	1043242	02.04.2018	ZENNER	Multidata s1-1	33467772	1.99	02.04.2014	1043218	02.04.2018	ZENNER	Multidata s1-1	33467677	2.141	02.04.2014	1043233	
32	04.02.2015	ZENNER	Multidata s1-1	33467663	2.737	02.04.2014	1043999	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
33	04.02.2015	ZENNER	Multidata s1-1	33467959	2.491	02.04.2014	1043914	02.04.2018	ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
34		ZENNER	Multidata s1-1						ZENNER	Multidata s1-1						ZENNER	Multidata s1-1					
35	04.02.2015	ZENNER	Multidata s1-1	33467958	2.313	02.04.2014	311867	02.04.2018	ZENNER	Multidata s1-1	33467798	1.087	02.04.2014	311867	02.04.2018	ZENNER	Multidata s1-1					
36	22.04.2015	ZENNER	Multidata s1-1	33467954	3.646	02.04.2014	268186	02.04.2018	ZENNER	Multidata s1-1	33467661	2.572	02.04.2014	232240	02.04.2018	ZENNER	Multidata s1-1	33467961	3.969	02.04.2014	232280	
