Квартира	комментарий	Дата опломбировки		ХВС1							ГВС1							ХВС2							ГВС2						
			Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Марка	Модель	Заводской Номер	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	
1		23.01.2015	Метер	СВУ-15	1185083	6	01.07.2014	1043941	01.07.2020	Метер	СВУ-15	1185081	2	01.07.2014	1043944	01.07.2020	Метер	СВУ-15	1185089	5	01.07.2014	1043947	01.07.2020	Метер	СВУ-15	1185196	4	01.07.2014	1185196	01.07.2020	
2		30.12.2014	Метер	СВУ-15	1185088	0	01.07.2014	1043022	01.07.2020	Метер	СВУ-15	1185105	0	01.07.2014	1043025	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
3		12.04.2017	Метер	СВУ-15	1185118	43	01.07.2014	144559	01.07.2020	Метер	СВУ-15	1185099	36	01.07.2014	144560	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
4		13.03.2015	Метер	СВУ-15	1185109	0	01.07.2014	268256	01.07.2020	Метер	СВУ-15	1185204	0	01.07.2014	268257	01.07.2020	Метер	СВУ-15	1185216	0	01.07.2014	268258	01.07.2020	Метер	СВУ-15	1185086	0	01.07.2014	268259	01.07.2020	
5		06.04.2015	Метер	СВУ-15	1185108	10	01.07.2014	232314	01.07.2020	Метер	СВУ-15	1185209	7	01.07.2014	232315	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
6		26.02.2015	Метер	СВУ-15	1185116	0	01.07.2014	268306	01.07.2020	Метер	СВУ-15	1185098	0	01.07.2014	268307	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
7		04.02.2015	Метер	СВУ-15	1185189	0	01.06.2014	1043799	01.06.2020	Метер	СВУ-15	1185152	0	01.06.2014	1043958	01.06.2020	Метер	СВУ-15	1185187	0	01.06.2014	1043926	01.06.2020	Метер	СВУ-15	118515814		01.06.2014	1043901	01.06.2020	
8		18.02.2015	Метер	СВУ-15	1185191	0	01.07.2014	8326	01.07.2020	Метер	СВУ-15	1185104	0	01.07.2014	8327	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
9		16.01.2015	Метер	СВУ-15	1185253	7	01.07.2014	1043270	01.07.2020	Метер	СВУ-15	1185155	4	01.07.2014	1043273	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
10		16.05.2014	Метер	СВУ-15	1146279	8	17.06.2014	1043282	17.06.2020	Метер	СВУ-15	1182160	20	17.06.2014	1043291	17.06.2020	Метер	СВУ-15	1182094	19	17.06.2014	1043257	17.06.2020	Метер	СВУ-15	1179224	14	17.06.2014	1043259	17.06.2020	
